original_frame_id,q_m,proposal_id,source_layer,formal_v4_label,v5_decision,decision_reason,static_verified_active,drawer_verified_active,static_verified_fraction,drawer_verified_fraction,accepted_causal_disocclusion_events,static_contradiction_veto,drawer_contradiction_veto,region_directory
198,0.2468650200273087,frame_198_layer_11,11,unknown,UNKNOWN,insufficient_positive_physical_evidence,5,8,0.3333333333333333,0.5333333333333333,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/032_frame_198_layer_11
198,0.2468650200273087,frame_198_layer_28,28,unknown,UNKNOWN,insufficient_positive_physical_evidence,15,7,1.0,0.4666666666666667,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/033_frame_198_layer_28
199,0.26164481925107075,frame_199_layer_0,0,unknown,UNKNOWN,insufficient_positive_physical_evidence,6,0,0.6,0.0,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/034_frame_199_layer_0
199,0.26164481925107075,frame_199_layer_3,3,unknown,UNKNOWN,insufficient_positive_physical_evidence,1,0,0.1,0.0,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/035_frame_199_layer_3
199,0.26164481925107075,frame_199_layer_6,6,unknown,MOVING,positive_moving_physical_evidence_no_static_conflict,3,6,0.3,0.6,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/036_frame_199_layer_6
199,0.26164481925107075,frame_199_layer_10,10,unknown,UNKNOWN,insufficient_positive_physical_evidence,0,0,0.0,0.0,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/037_frame_199_layer_10
199,0.26164481925107075,frame_199_layer_12,12,unknown,UNKNOWN,insufficient_positive_physical_evidence,6,2,0.6,0.2,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/038_frame_199_layer_12
199,0.26164481925107075,frame_199_layer_24,24,unknown,UNKNOWN,insufficient_positive_physical_evidence,10,0,1.0,0.0,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/039_frame_199_layer_24
199,0.26164481925107075,frame_199_layer_28,28,unknown,UNKNOWN,insufficient_positive_physical_evidence,10,2,1.0,0.2,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/040_frame_199_layer_28
200,0.2734369146971839,frame_200_layer_0,0,unknown,UNKNOWN,insufficient_positive_physical_evidence,3,0,0.3333333333333333,0.0,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/041_frame_200_layer_0
200,0.2734369146971839,frame_200_layer_3,3,unknown,UNKNOWN,insufficient_positive_physical_evidence,1,0,0.1111111111111111,0.0,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/042_frame_200_layer_3
200,0.2734369146971839,frame_200_layer_6,6,unknown,MOVING,positive_moving_physical_evidence_no_static_conflict,3,6,0.3333333333333333,0.6666666666666666,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/043_frame_200_layer_6
200,0.2734369146971839,frame_200_layer_10,10,unknown,UNKNOWN,insufficient_positive_physical_evidence,0,0,0.0,0.0,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/044_frame_200_layer_10
200,0.2734369146971839,frame_200_layer_24,24,unknown,UNKNOWN,insufficient_positive_physical_evidence,9,0,1.0,0.0,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/045_frame_200_layer_24
200,0.2734369146971839,frame_200_layer_28,28,unknown,UNKNOWN,insufficient_positive_physical_evidence,9,1,1.0,0.1111111111111111,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/046_frame_200_layer_28
201,0.2758790548320902,frame_201_layer_0,0,unknown,UNKNOWN,insufficient_positive_physical_evidence,0,0,0.0,0.0,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/047_frame_201_layer_0
